,Province,Pollutant,Year,Value,Per Capita,By Capita
649,PE,VOC,2002,8121.89501605934,136927.0,0.05931551130207585
650,AB,NH3,2003,131606.19967270968,3176268.75,0.0414342141774715
651,AB,CO,2003,1655205.536513646,3176268.75,0.5211163370585835
652,AB,SOX,2003,467641.8015550517,3176268.75,0.1472299223908719
653,AB,NOX,2003,768416.7428231763,3176268.75,0.24192434686868872
654,AB,VOC,2003,607456.3709643948,3176268.75,0.19124841717641014
655,BC,NH3,2003,23889.17417075541,4121071.75,0.0057968352943030925
656,BC,CO,2003,1453360.9633557766,4121071.75,0.35266577519689546
657,BC,SOX,2003,65659.59900223221,4121071.75,0.01593265125806951
658,BC,NOX,2003,294701.7355356199,4121071.75,0.0715109450680202
659,BC,VOC,2003,289051.3048786525,4121071.75,0.07013983798720624
660,ON,NH3,2003,106392.2800179042,12222239.75,0.0087048104270663
661,ON,CO,2003,2407115.545967362,12222239.75,0.19694553495952835
662,ON,SOX,2003,525611.7812709745,12222239.75,0.04300453861338913
663,ON,NOX,2003,599712.784925121,12222239.75,0.04906733930866648
664,ON,VOC,2003,605578.343667086,12222239.75,0.049547247972049145
665,MB,NH3,2003,56404.06551229634,1162089.5,0.04853676546625397
666,MB,CO,2003,301371.9701701736,1162089.5,0.25933628190442615
667,MB,SOX,2003,366580.04392353946,1162089.5,0.3154490630227185
